Year,Party,WinnerTakeAll
1976,Republican,297
1976,Democrat,241
1976,Other,0
1980,Republican,489
1980,Democrat,49
1980,Other,0
1984,Republican,525
1984,Democrat,13
1984,Other,0
1988,Republican,426
1988,Democrat,112
1988,Other,0
1992,Republican,168
1992,Democrat,370
1992,Other,0
1996,Republican,159
1996,Democrat,379
1996,Other,0
2000,Republican,271
2000,Democrat,267
2000,Other,0
2004,Republican,286
2004,Democrat,252
2004,Other,0
2008,Republican,173
2008,Democrat,365
2008,Other,0
2012,Republican,206
2012,Democrat,332
2012,Other,0
2016,Republican,306
2016,Democrat,232
2016,Other,0
2020,Republican,232
2020,Democrat,306
2020,Other,0
